,City name,Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
184,boralday,kz,43.36,76.86,2.0,1.0,100.0,75.0
185,shiyan,cn,32.65,110.78,5.94,0.96,95.0,92.0
186,sokolo,ml,14.74,-6.12,28.26,2.61,40.0,80.0
187,farafangana,mg,-22.82,47.83,24.56,3.46,100.0,68.0
188,saint-jean-de-maurienne,fr,45.28,6.35,0.0,4.1,89.0,90.0
189,hualmay,pe,-11.1,-77.61,21.34,1.91,70.0,8.0
190,ginda,er,30.69,78.49,5.11,1.16,71.0,48.0
192,segou,ml,12.41,-12.29,26.21,3.31,42.0,0.0
193,butaritari,ki,3.07,172.79,26.81,6.61,100.0,92.0
194,plouzane,fr,48.38,-4.62,-2.0,8.2,50.0,0.0
195,pailitas,co,8.96,-73.63,28.21,0.91,67.0,32.0
196,rio claro,br,-22.41,-47.56,26.0,0.5,69.0,40.0
197,bolobo,cd,-2.17,16.23,24.44,2.11,81.0,80.0
198,kralendijk,an,12.15,-68.27,25.0,4.6,73.0,0.0
199,camopi,gf,3.17,-52.33,25.09,1.46,87.0,68.0
200,santa maria,cv,-29.69,-53.81,22.0,0.5,100.0,75.0
201,barranca,pe,-10.75,-77.76,19.91,3.11,93.0,32.0
202,cascais,pt,38.7,-9.42,15.0,13.4,87.0,75.0
203,venado tuerto,ar,-33.75,-61.97,23.06,2.26,77.0,48.0
204,batetskiy,ru,58.65,30.3,-17.69,1.61,77.0,44.0
206,kiunga,pg,-6.12,141.3,25.46,1.31,92.0,64.0
207,beipiao,cn,41.8,120.76,-9.89,8.96,43.0,0.0
209,eyemouth,gb,55.87,-2.09,-2.0,12.9,79.0,56.0
210,san andres,co,13.32,122.68,26.91,4.01,100.0,48.0
211,yendi,gh,9.45,0.0,27.84,3.81,56.0,0.0
212,san cristobal,ec,-0.39,-78.55,14.0,1.0,82.0,90.0
213,horki,by,54.29,30.98,-16.17,7.31,75.0,48.0
214,buala,sb,-8.15,159.59,26.71,2.51,100.0,88.0
215,abha,sa,18.22,42.5,15.0,3.6,82.0,0.0
216,kloulklubed,pw,7.04,134.26,28.0,2.6,83.0,90.0
217,atbasar,kz,51.81,68.36,-16.59,4.41,76.0,44.0
218,lincoln,ar,53.23,-0.54,-4.0,9.3,92.0,75.0
219,ca mau,vn,9.18,105.15,25.21,3.31,97.0,92.0
220,arraial do cabo,br,-22.97,-42.02,26.0,1.5,88.0,40.0
221,kalispell,us,48.2,-114.32,1.0,2.1,74.0,90.0
222,araceli,ph,10.55,119.99,27.46,7.06,100.0,20.0
223,wahpeton,us,46.27,-96.61,-2.0,2.1,79.0,1.0
224,shimizu,jp,35.71,139.62,15.0,3.6,100.0,75.0
225,muisne,ec,0.61,-80.02,25.34,3.36,75.0,76.0
226,mount pleasant,us,33.16,-94.97,19.0,2.1,93.0,75.0
227,mondlo,za,-27.96,30.72,13.26,1.21,86.0,0.0
228,nalut,ly,31.86,10.98,12.81,4.21,62.0,0.0
230,birobidzhan,ru,48.79,132.93,-11.39,4.46,76.0,80.0
231,qianguo,cn,45.12,124.86,-10.77,8.01,83.0,64.0
232,karpathos,gr,35.51,27.21,14.0,7.7,76.0,0.0
233,mananjary,mg,-19.16,46.8,14.31,1.41,92.0,64.0
234,holly springs,us,35.65,-78.83,13.0,2.41,81.0,90.0
235,fershampenuaz,ru,53.52,59.82,-21.99,2.51,76.0,20.0
236,tomatlan,mx,19.93,-105.25,27.41,1.46,56.0,0.0
237,ifo,ng,6.81,3.2,27.0,2.6,88.0,20.0
238,gavle,se,60.67,17.14,-7.77,3.36,89.0,68.0
239,matamoros,mx,25.87,-97.51,28.0,13.9,61.0,1.0
240,dale,no,24.09,109.99,17.49,2.71,95.0,12.0
241,hoi an,vn,15.88,108.33,24.0,2.1,88.0,75.0
242,kalmunai,lk,7.42,81.82,23.56,1.51,98.0,88.0
243,alenquer,br,-1.95,-54.74,25.0,2.51,94.0,40.0
244,grand-santi,gf,4.27,-54.38,24.86,1.91,85.0,24.0
245,batemans bay,au,-35.71,150.18,21.59,2.66,72.0,0.0
246,simao,cn,22.76,100.79,8.16,1.56,76.0,0.0
247,ouadda,cf,8.07,22.4,23.31,3.21,79.0,24.0
248,svetlaya,ru,46.54,138.33,-2.19,3.56,100.0,92.0
249,reforma,mx,24.02,-104.65,24.0,10.8,13.0,20.0
251,dicabisagan,ph,17.08,122.42,23.26,0.96,100.0,76.0
252,tazovskiy,ru,67.47,78.7,-19.54,11.86,74.0,68.0
253,mersing,my,2.43,103.84,26.09,4.11,92.0,76.0
254,wyszkow,pl,52.59,21.46,-12.0,4.1,78.0,40.0
255,tucuman,ar,-17.17,-70.89,16.84,1.31,69.0,8.0
256,novyy urengoy,ru,66.08,76.63,-20.49,11.21,81.0,88.0
257,zabol,ir,31.03,61.49,13.96,1.36,100.0,32.0
